,date,bike_rides_daily,avgTemp
0,2022-01-01,20428,11.6
20428,2022-01-02,43009,11.4
63437,2022-01-03,33189,1.4
96626,2022-01-04,36842,-2.7
133468,2022-01-05,34230,3.2
167698,2022-01-06,44787,4.9
212485,2022-01-07,17401,0.7
229886,2022-01-08,24455,-2.5
254341,2022-01-09,21479,1.4
275820,2022-01-10,34727,1.6
310547,2022-01-11,26824,-5.4
337371,2022-01-12,40568,-1.9
377939,2022-01-13,50572,4.0
428511,2022-01-14,45714,4.8
474225,2022-01-15,22839,-6.7
497064,2022-01-16,20930,-8.0
517994,2022-01-17,29084,3.9
547078,2022-01-18,42935,1.8
590013,2022-01-19,54011,3.2
644024,2022-01-20,33928,5.1
677952,2022-01-21,33598,-6.0
711550,2022-01-22,31969,-5.9
743519,2022-01-23,32967,-0.7
776486,2022-01-24,41488,-0.2
817974,2022-01-25,50692,3.6
868666,2022-01-26,42005,-2.3
910671,2022-01-27,43830,-4.2
954501,2022-01-28,34871,0.1
989372,2022-01-29,2848,-4.8
992220,2022-01-30,9486,-7.1
1001706,2022-01-31,22349,-3.4
1024055,2022-02-01,29338,-1.7
1053393,2022-02-02,41947,2.3
1095340,2022-02-03,26568,6.4
1121908,2022-02-04,20309,5.8
1142217,2022-02-05,29638,-2.8
1171855,2022-02-06,28887,-4.8
1200742,2022-02-07,30717,0.5
1231459,2022-02-08,51893,4.1
1283352,2022-02-09,56007,2.8
1339359,2022-02-10,61937,6.3
1401296,2022-02-11,64614,8.6
1465910,2022-02-12,68575,11.8
1534485,2022-02-13,20384,2.8
1554869,2022-02-14,34198,-4.3
1589067,2022-02-15,40550,-4.7
1629617,2022-02-16,53683,1.6
1683300,2022-02-17,67432,11.6
1750732,2022-02-18,47038,9.9
1797770,2022-02-19,32450,0.1
1830220,2022-02-20,31051,-2.6
1861271,2022-02-21,52366,4.1
1913637,2022-02-22,36459,5.6
1950096,2022-02-23,66325,14.4
2016421,2022-02-24,44725,1.1
2061146,2022-02-25,30412,0.8
2091558,2022-02-26,41415,-1.1
2132973,2022-02-27,42805,2.4
2175778,2022-02-28,45636,0.8
2221414,2022-03-01,56019,2.6
2277433,2022-03-02,67108,7.7
2344541,2022-03-03,55408,5.6
2399949,2022-03-04,49704,-1.9
2449653,2022-03-05,51358,3.1
2501011,2022-03-06,54531,9.6
2555542,2022-03-07,67882,18.2
2623424,2022-03-08,62178,8.7
2685602,2022-03-09,28088,3.2
2713690,2022-03-10,66071,4.0
2779761,2022-03-11,69316,7.2
2849077,2022-03-12,19628,5.1
2868705,2022-03-13,30833,-2.3
2899538,2022-03-14,63206,5.3
2962744,2022-03-15,78946,11.6
3041690,2022-03-16,81449,13.6
3123139,2022-03-17,50004,8.2
3173143,2022-03-18,92837,13.9
3265980,2022-03-19,77861,13.1
3343841,2022-03-20,65417,14.3
3409258,2022-03-21,73209,10.4
3482467,2022-03-22,75235,10.7
3557702,2022-03-23,60865,7.2
3618567,2022-03-24,45793,5.7
3664360,2022-03-25,74873,9.6
3739233,2022-03-26,62151,10.4
3801384,2022-03-27,45625,5.9
3847009,2022-03-28,38135,-1.5
3885144,2022-03-29,48426,-1.2
3933570,2022-03-30,61254,2.6
3994824,2022-03-31,72625,9.9
4067449,2022-04-01,68479,13.1
4135928,2022-04-02,73254,7.2
4209182,2022-04-03,37164,7.0
4246346,2022-04-04,68902,7.6
4315248,2022-04-05,72629,9.7
4387877,2022-04-06,48443,8.6
4436320,2022-04-07,35322,9.1
4471642,2022-04-08,88195,12.8
4559837,2022-04-09,67329,11.4
4627166,2022-04-10,57144,8.6
4684310,2022-04-11,75355,8.8
4759665,2022-04-12,93575,13.4
4853240,2022-04-13,98764,15.4
4952004,2022-04-14,90635,16.3
5042639,2022-04-15,99636,15.7
5142275,2022-04-16,82188,15.7
5224463,2022-04-17,54110,8.3
5278573,2022-04-18,55811,7.9
5334384,2022-04-19,58873,7.6
5393257,2022-04-20,85294,9.4
5478551,2022-04-21,77520,10.6
5556071,2022-04-22,97494,14.6
5653565,2022-04-23,94585,13.3
5748150,2022-04-24,83406,12.8
5831556,2022-04-25,72682,10.4
5904238,2022-04-26,74947,11.5
5979185,2022-04-27,82446,11.6
6061631,2022-04-28,78531,8.2
6140162,2022-04-29,87089,10.4
6227251,2022-04-30,101537,12.9
6328788,2022-05-01,94657,13.6
6423445,2022-05-02,54536,12.1
6477981,2022-05-03,92564,12.4
6570545,2022-05-04,79594,12.0
6650139,2022-05-05,110355,17.2
6760494,2022-05-06,35170,14.8
6795664,2022-05-07,20557,10.0
6816221,2022-05-08,62745,10.4
6878966,2022-05-09,93995,13.5
6972961,2022-05-10,104600,15.4
7077561,2022-05-11,107079,16.1
7184640,2022-05-12,110862,17.1
7295502,2022-05-13,95861,16.0
7391363,2022-05-14,79812,17.9
7471175,2022-05-15,108477,18.8
7579652,2022-05-16,79295,20.4
7658947,2022-05-17,117412,19.7
7776359,2022-05-18,117596,17.8
7893955,2022-05-19,90207,15.5
7984162,2022-05-20,85189,15.4
8069351,2022-05-21,115215,21.2
8184566,2022-05-22,103604,27.8
8288170,2022-05-23,101563,21.0
8389733,2022-05-24,104949,17.4
8494682,2022-05-25,114182,16.2
8608864,2022-05-26,111106,16.4
8719970,2022-05-27,89185,20.2
8809155,2022-05-28,82607,20.4
8891762,2022-05-29,101235,20.7
8992997,2022-05-30,100732,23.3
9093729,2022-05-31,100360,28.3
9194089,2022-06-01,88070,17.8
9282159,2022-06-02,98712,20.3
9380871,2022-06-03,120876,19.5
9501747,2022-06-04,127507,21.9
9629254,2022-06-05,115902,20.0
9745156,2022-06-06,110255,22.2
9855411,2022-06-07,103639,21.8
9959050,2022-06-08,123906,23.7
10082956,2022-06-09,115009,24.4
10197965,2022-06-10,122508,21.8
10320473,2022-06-11,115603,21.8
10436076,2022-06-12,90287,20.5
10526363,2022-06-13,111525,24.2
10637888,2022-06-14,123640,23.9
10761528,2022-06-15,127915,23.3
10889443,2022-06-16,102031,20.3
10991474,2022-06-17,119656,25.2
11111130,2022-06-18,108577,21.7
11219707,2022-06-19,105636,17.3
11325343,2022-06-20,114193,20.5
11439536,2022-06-21,99400,22.1
11538936,2022-06-22,94428,19.1
11633364,2022-06-23,117321,19.2
11750685,2022-06-24,124257,21.9
11874942,2022-06-25,118493,25.8
11993435,2022-06-26,106089,27.0
12099524,2022-06-27,79616,24.3
12179140,2022-06-28,121346,22.4
12300486,2022-06-29,121539,23.9
12422025,2022-06-30,116209,25.4
12538234,2022-07-01,103432,28.1
12641666,2022-07-02,88943,28.7
12730609,2022-07-03,89364,26.9
12819973,2022-07-04,94692,25.6
12914665,2022-07-05,88946,25.9
13003611,2022-07-06,112874,26.0
13116485,2022-07-07,114752,24.2
13231237,2022-07-08,98312,23.5
13329549,2022-07-09,123237,24.7
13452786,2022-07-10,115594,23.4
13568380,2022-07-11,111362,24.0
13679742,2022-07-12,111767,25.8
13791509,2022-07-13,120853,28.9
13912362,2022-07-14,120450,26.6
14032812,2022-07-15,119355,26.1
14152167,2022-07-16,111650,24.3
14263817,2022-07-17,111004,25.7
14374821,2022-07-18,83439,26.2
14458260,2022-07-19,119752,28.2
14578012,2022-07-20,117760,31.3
14695772,2022-07-21,109101,29.8
14804873,2022-07-22,111786,30.9
14916659,2022-07-23,107728,30.3
15024387,2022-07-24,99639,31.1
15124026,2022-07-25,96351,29.8
15220377,2022-07-26,122455,25.9
15342832,2022-07-27,125081,25.5
15467913,2022-07-28,117505,26.7
15585418,2022-07-29,114611,28.2
15700029,2022-07-30,123256,26.7
15823285,2022-07-31,112671,26.3
15935956,2022-08-01,98167,23.1
16034123,2022-08-02,120945,26.4
16155068,2022-08-03,124946,27.6
16280014,2022-08-04,118082,29.1
16398096,2022-08-05,114401,29.3
16512497,2022-08-06,123062,29.6
16635559,2022-08-07,95005,29.6
16730564,2022-08-08,104188,30.3
16834752,2022-08-09,109152,31.3
16943904,2022-08-10,123692,27.2
17067596,2022-08-11,114225,26.6
17181821,2022-08-12,122804,25.6
17304625,2022-08-13,132252,23.1
17436877,2022-08-14,111858,24.0
17548735,2022-08-15,111846,24.3
17660581,2022-08-16,122538,23.6
17783119,2022-08-17,120504,23.6
17903623,2022-08-18,121945,24.1
18025568,2022-08-19,120752,26.3
18146320,2022-08-20,128688,27.9
18275008,2022-08-21,110432,25.3
18385440,2022-08-22,85908,24.5
18471348,2022-08-23,118449,25.9
18589797,2022-08-24,122883,26.9
18712680,2022-08-25,120158,28.1
18832838,2022-08-26,108773,27.4
18941611,2022-08-27,117835,27.8
19059446,2022-08-28,107815,24.6
19167261,2022-08-29,108140,26.0
19275401,2022-08-30,113460,26.8
19388861,2022-08-31,123277,25.6
19512138,2022-09-01,121537,25.9
19633675,2022-09-02,116500,21.7
19750175,2022-09-03,107735,22.8
19857910,2022-09-04,99471,25.3
19957381,2022-09-05,93932,25.8
20051313,2022-09-06,40735,23.3
20092048,2022-09-07,112912,20.8
20204960,2022-09-08,134611,21.8
20339571,2022-09-09,133707,21.9
20473278,2022-09-10,134650,23.6
20607928,2022-09-11,67771,23.2
20675699,2022-09-12,115155,22.4
20790854,2022-09-13,122436,24.7
20913290,2022-09-14,135072,22.9
21048362,2022-09-15,132381,21.8
21180743,2022-09-16,131682,19.6
21312425,2022-09-17,130502,20.8
