start_station_name,end_station_name,date,avgTemp,bike_rides_daily,season,value
1 Ave & E 110 St,1 Ave & E 110 St,2022-02-21,4.1,52366.0,winter,3
1 Ave & E 110 St,1 Ave & E 110 St,2022-03-10,4.0,66071.0,winter,4
1 Ave & E 110 St,1 Ave & E 110 St,2022-05-12,17.1,110862.0,spring,4
1 Ave & E 110 St,1 Ave & E 110 St,2022-06-11,21.8,115603.0,summer,4
1 Ave & E 110 St,1 Ave & E 110 St,2022-07-01,28.1,103432.0,summer,3
1 Ave & E 110 St,1 Ave & E 110 St,2022-09-24,14.5,113146.0,summer,3
1 Ave & E 110 St,1 Ave & E 110 St,2022-11-08,13.2,96598.0,fall,4
1 Ave & E 110 St,1 Ave & E 110 St,2022-11-12,19.7,113802.0,fall,5
1 Ave & E 110 St,1 Ave & E 94 St,2022-06-02,20.3,98712.0,summer,3
1 Ave & E 110 St,2 Ave & E 104 St,2022-11-07,21.3,107226.0,fall,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-03-16,13.6,81449.0,winter,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-04-23,13.3,94585.0,winter,6
1 Ave & E 110 St,2 Ave & E 96 St,2022-04-25,10.4,72682.0,winter,5
1 Ave & E 110 St,2 Ave & E 96 St,2022-05-01,13.6,94657.0,spring,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-05-20,15.4,85189.0,spring,7
1 Ave & E 110 St,2 Ave & E 96 St,2022-05-23,21.0,101563.0,spring,6
1 Ave & E 110 St,2 Ave & E 96 St,2022-06-02,20.3,98712.0,summer,5
1 Ave & E 110 St,2 Ave & E 96 St,2022-06-06,22.2,110255.0,summer,7
1 Ave & E 110 St,2 Ave & E 96 St,2022-06-15,23.3,127915.0,summer,10
1 Ave & E 110 St,2 Ave & E 96 St,2022-08-04,29.1,118082.0,summer,8
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-01,25.9,121537.0,summer,8
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-03,22.8,107735.0,summer,5
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-18,23.4,116749.0,summer,5
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-24,14.5,113146.0,summer,4
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-26,19.4,105459.0,summer,5
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-27,19.7,116586.0,summer,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-09-28,17.2,123677.0,summer,9
1 Ave & E 110 St,2 Ave & E 96 St,2022-10-12,17.9,118695.0,fall,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-10-29,10.8,105008.0,fall,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-11-10,12.6,109046.0,fall,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-11-30,8.4,54667.0,fall,9
1 Ave & E 110 St,2 Ave & E 96 St,2022-12-11,3.4,32718.0,winter,3
1 Ave & E 110 St,2 Ave & E 96 St,2022-12-12,1.6,59960.0,winter,7
1 Ave & E 110 St,2 Ave & E 96 St,2022-12-14,1.7,67388.0,winter,4
1 Ave & E 110 St,2 Ave & E 99 St,2022-05-14,17.9,79812.0,spring,3
1 Ave & E 110 St,2 Ave & E 99 St,2022-09-07,20.8,112912.0,summer,3
1 Ave & E 110 St,2 Ave & E 99 St,2022-09-28,17.2,123677.0,summer,4
1 Ave & E 110 St,2 Ave & E 99 St,2022-10-14,15.7,114921.0,fall,3
1 Ave & E 110 St,2 Ave & E 99 St,2022-11-10,12.6,109046.0,fall,3
1 Ave & E 110 St,3 Ave & E 112 St,2022-03-10,4.0,66071.0,winter,3
1 Ave & E 110 St,5 Ave & E 103 St,2022-10-22,14.4,111348.0,fall,4
1 Ave & E 110 St,5 Ave & E 87 St,2022-07-10,23.4,115594.0,summer,3
1 Ave & E 110 St,Columbus Ave & W 95 St,2022-11-09,8.7,95500.0,fall,3
1 Ave & E 110 St,E 102 St & 1 Ave,2022-08-21,25.3,110432.0,summer,3
1 Ave & E 110 St,E 102 St & 1 Ave,2022-09-12,22.4,115155.0,summer,3
1 Ave & E 110 St,E 103 St & Lexington Ave,2022-09-29,16.6,121411.0,summer,3
1 Ave & E 110 St,E 106 St & 1 Ave,2022-05-21,21.2,115215.0,spring,4
1 Ave & E 110 St,E 106 St & 1 Ave,2022-06-01,17.8,88070.0,summer,4
1 Ave & E 110 St,E 106 St & 1 Ave,2022-07-11,24.0,111362.0,summer,3
1 Ave & E 110 St,E 106 St & 2 Ave,2022-07-07,24.2,114752.0,summer,8
1 Ave & E 110 St,E 106 St & 2 Ave,2022-07-19,28.2,119752.0,summer,4
1 Ave & E 110 St,E 106 St & 2 Ave,2022-10-20,11.1,104413.0,fall,3
1 Ave & E 110 St,E 106 St & Lexington Ave,2022-06-11,21.8,115603.0,summer,4
1 Ave & E 110 St,E 106 St & Lexington Ave,2022-07-09,24.7,123237.0,summer,3
1 Ave & E 110 St,E 106 St & Lexington Ave,2022-09-30,14.5,115282.0,summer,4
1 Ave & E 110 St,E 106 St & Lexington Ave,2022-11-08,13.2,96598.0,fall,4
1 Ave & E 110 St,E 106 St & Madison Ave,2022-10-14,15.7,114921.0,fall,3
1 Ave & E 110 St,E 114 St & 1 Ave,2022-03-25,9.6,74873.0,winter,4
1 Ave & E 110 St,E 114 St & 1 Ave,2022-03-30,2.6,61254.0,winter,4
1 Ave & E 110 St,E 114 St & 1 Ave,2022-04-09,11.4,67329.0,winter,4
1 Ave & E 110 St,E 114 St & 1 Ave,2022-04-12,13.4,93575.0,winter,4
1 Ave & E 110 St,E 114 St & 1 Ave,2022-07-22,30.9,111786.0,summer,6
1 Ave & E 110 St,E 115 St & Lexington Ave,2022-04-26,11.5,74947.0,winter,3
1 Ave & E 110 St,E 118 St & 1 Ave,2022-08-19,26.3,120752.0,summer,4
1 Ave & E 110 St,E 118 St & 1 Ave,2022-09-12,22.4,115155.0,summer,3
1 Ave & E 110 St,E 55 St & 2 Ave,2022-11-03,15.7,116776.0,fall,3
